,RENT_ID,RENT_NM_x,USE_CNT,MOVE_METER,평균이동거리,RENT_NM_y,LAT,LONG
177,320,320. 을지로입구역 4번출구 앞,20812,53671156.22,2578.856247357294,320. 을지로입구역 4번출구 앞,37.56622314,126.98358917
178,321,321. KEB 하나금융그룹 명동사옥 옆,15718,41706860.16,2653.445741188446,321. KEB 하나금융그룹 명동사옥 옆,37.56546402,126.98413849
179,322,322. 명동성당 앞,9475,21446822.84,2263.5169224274405,322. 명동성당 앞,37.56447601,126.98696899
180,324,324. 신세계백화점 본점 앞,11597,31410022.05,2708.460985599724,324. 신세계백화점 본점 앞,37.56134415,126.9805069
181,326,326. 안국역 5번출구 앞,19202,39643036.89,2064.526449848974,326. 안국역 5번출구 앞,37.57624054,126.98616028
182,327,327. 낙원상가 옆,19930,38442726.53,1928.8874325137983,327. 낙원상가 옆,37.57335663,126.9874649
183,328,328. 탑골공원 앞,11213,25611531.97,2284.092746811736,328. 탑골공원 앞,37.57039642,126.9881897
184,329,329. 청계2가 사거리 옆,21441,53572391.04,2498.5957296767874,329. 청계2가 사거리 옆,37.56848526,126.98788452
185,331,331. 을지로2가 사거리 북측,17547,42166926.66,2403.0846674645236,331. 을지로2가 사거리 북측,37.56638336,126.98720551
186,332,332. 을지로2가 사거리 남측,12229,26830351.0,2193.9938670373704,332. 을지로2가 사거리 남측,37.56599045,126.98779297
187,334,334. 종로3가역 2번출구 뒤,19581,39097802.85,1996.7214570246667,334. 종로3가역 2번출구 뒤,37.5705986,126.99179077
188,335,335. 종로3가역 15번출구 앞,16268,33891056.92,2083.295851979346,335. 종로3가역 15번출구 앞,37.57019424,126.99165344
189,336,336. 충무로역 6번출구 앞,17186,37375040.52,2174.737607354824,336. 충무로역 6번출구 앞,37.56144714,126.99311066
190,337,337. 창경궁 입구,10086,18237454.82,1808.1950049573666,337. 창경궁 입구,37.57897949,126.99647522
191,338,338. 세운스퀘어 앞,9474,17942845.1,1893.9038526493564,338. 세운스퀘어 앞,37.57095718,126.99712372
192,339,339. 종로4가 사거리,16838,30675313.7,1821.790812448034,339. 종로4가 사거리,37.57106781,126.99819183
193,340,340. 혜화동 로터리,19963,40210473.38,2014.2500315583832,340. 혜화동 로터리,37.58562851,127.00067902
194,341,341. 혜화역 3번출구 뒤,18107,32244092.21,1780.7528696084387,341. 혜화역 3번출구 뒤,37.58156967,127.00178528
195,342,342. 대학로 마로니에공원,31532,68105052.54,2159.871005327921,342. 대학로 마로니에공원,37.57978439,127.00253296
196,343,343. 힐스테이트창경궁 아파트 앞,14273,24181488.96,1694.2120759475933,343. 힐스테이트창경궁 아파트 앞,37.57561111,127.00469971
197,344,344. 성균관대 E하우스 앞,15122,24562820.76,1624.3103266763658,344. 성균관대 E하우스 앞,37.57419968,127.0065918
198,345,345. 서울보증보험본사 앞,19514,31691275.35,1624.0276391308805,345. 서울보증보험본사 앞,37.57330704,127.00070953
199,346,346. 맥스타일 앞,13513,37140249.26,2748.4828875897283,346. 맥스타일 앞,37.5689621,127.01014709
200,347,347. 동대문역사문화공원역 9번출구 앞,9749,21412885.97,2196.4187065340034,347. 동대문역사문화공원역 9번출구 앞,37.56533051,127.00784302
201,348,348. 독립문역 사거리,14947,32868112.7,2198.977232889543,348. 독립문역 사거리,37.57202911,126.96078491
202,349,349. 어린이도서관,10131,23869383.54,2356.073787385253,349. 어린이도서관,37.57633209,126.96858978
203,351,351. 청운초교 앞 삼거리,9948,23965167.62,2409.043789706474,351. 청운초교 앞 삼거리,37.58496857,126.97041321
204,352,352. 중앙고입구 삼거리,3636,7978861.06,2194.4062321232122,352. 중앙고입구 삼거리,37.58341599,126.98523712
205,353,353. 재동초교 앞 삼거리,13213,30019385.5,2271.958336486793,353. 재동초교 앞 삼거리,37.57938766,126.9849472
206,354,354. 포르투갈 대사관 앞,17626,33074119.96,1876.4393486894362,354. 포르투갈 대사관 앞,37.57915497,126.98896027
207,355,355. 서울사대부설초등학교 앞,19340,33898006.45,1752.7407678386764,355. 서울사대부설초등학교 앞,37.57650757,127.00245667
208,356,356. KT혜화지사 앞,17832,31790331.51,1782.7687028936743,356. KT혜화지사 앞,37.57714462,127.00205994
209,358,358. 성균관대입구 사거리 A,13708,26738928.23,1950.6075452290634,358. 성균관대입구 사거리 A,37.58250046,126.99853516
